Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Found in	Score	
TM35_000016340	TM35_000016340-t36_1	T. theileri isolate Edinburgh	NBCO01000001:1,362,860..1,364,512(+)	surface protease GP63	Product	1	
TM35_000016360	TM35_000016360-t36_1	T. theileri isolate Edinburgh	NBCO01000001:1,366,015..1,367,550(+)	putative surface protease GP63	Product	1	
TM35_000021490	TM35_000021490-t36_1	T. theileri isolate Edinburgh	NBCO01000002:129,917..130,852(-)	surface protease GP63	Product	1	
TM35_000021510	TM35_000021510-t36_1	T. theileri isolate Edinburgh	NBCO01000002:133,107..135,770(-)	surface protease GP63	Product	1	
TM35_000022110	TM35_000022110-t36_1	T. theileri isolate Edinburgh	NBCO01000002:330,899..332,599(-)	putative surface protease GP63	Product	1	
TM35_000024010	TM35_000024010-t36_1	T. theileri isolate Edinburgh	NBCO01000002:820,886..822,394(-)	surface protease GP63	Product	1	
TM35_000024020	TM35_000024020-t36_1	T. theileri isolate Edinburgh	NBCO01000002:823,119..823,736(-)	surface protease GP63	Product	1	
TM35_000044260	TM35_000044260-t36_1	T. theileri isolate Edinburgh	NBCO01000004:734,871..736,205(-)	putative surface protease GP63	Product	1	
TM35_000044470	TM35_000044470-t36_1	T. theileri isolate Edinburgh	NBCO01000004:781,585..784,509(-)	surface protease GP63	Product	1	
TM35_000053690	TM35_000053690-t36_1	T. theileri isolate Edinburgh	NBCO01000005:732,586..734,514(+)	surface protease GP63	Product	1	
TM35_000061080	TM35_000061080-t36_1	T. theileri isolate Edinburgh	NBCO01000006:34,241..35,950(+)	putative surface protease GP63	Product	1	
TM35_000065040	TM35_000065040-t36_1	T. theileri isolate Edinburgh	NBCO01000006:943,118..944,662(+)	surface protease GP63	Product	1	
TM35_000065050	TM35_000065050-t36_1	T. theileri isolate Edinburgh	NBCO01000006:948,310..950,238(+)	surface protease GP63	Product	1	
TM35_000065060	TM35_000065060-t36_1	T. theileri isolate Edinburgh	NBCO01000006:950,276..951,940(+)	surface protease GP63	Product	1	
