[Gene ID],[Product Description],[CDS Length],[# TM Domains],sig_a,sig_b,sig_c,P_freq,S_freq,T_freq,ST_freq,gpi_site,gpi_pred,Peptide counts (unique),Score,Intensity,MS/MS count,prot_len
TM35_000012380,hypothetical protein,855,0,4.0,0.93,1.0,0.017605633802816902,0.056338028169014086,0.056338028169014086,0.11267605633802817,257,100.0,6,48.086000000000006,19757000.0,8.0,285.0
TM35_000015710,putative mucin TcMUCII,732,1,3.0,0.4,0.48,0.06172839506172839,0.06584362139917696,0.053497942386831275,0.11934156378600824,212,6.3,,,,,244.0
TM35_000016370,hypothetical protein,561,1,4.0,0.86,1.0,0.13440860215053763,0.06451612903225806,0.05913978494623656,0.12365591397849462,162,0.0,,,,,187.0
TM35_000023330,putative mucin-associated surface protein (MASP),1554,1,4.0,0.89,1.0,0.0735009671179884,0.09284332688588008,0.05609284332688588,0.14893617021276595,493,50.7,,,,,518.0
TM35_000023720,hypothetical protein,708,0,0.0,0.0,0.0,0.01694915254237288,0.029661016949152543,0.07627118644067797,0.10593220338983052,210,28.0,,,,,236.0
TM35_000023730,hypothetical protein,837,1,4.0,0.94,1.0,0.01079136690647482,0.046762589928057555,0.05755395683453238,0.10431654676258993,250,99.9,1,7.2653,576540.0,1.0,279.0
TM35_000023740,hypothetical protein,708,1,4.0,0.93,1.0,0.029661016949152543,0.03389830508474576,0.06779661016949153,0.1016949152542373,214,99.9,7,64.40100000000001,39313000.0,20.0,236.0
TM35_000023750,hypothetical protein,717,1,4.0,0.9,1.0,0.03765690376569038,0.058577405857740586,0.07112970711297072,0.1297071129707113,218,78.4,7,86.15700000000001,150160000.0,65.0,239.0
TM35_000023760,hypothetical protein,738,0,4.0,0.93,1.0,0.02857142857142857,0.044897959183673466,0.06938775510204082,0.11428571428571428,217,100.0,7,86.35600000000001,71109000.0,44.0,246.0
TM35_000023770,hypothetical protein,285,1,4.0,0.95,1.0,0.031578947368421054,0.042105263157894736,0.06315789473684211,0.10526315789473684,75,89.1,1,5.68,2788500.0,4.0,95.0
TM35_000023780,hypothetical protein,762,0,4.0,0.94,1.0,0.015748031496062992,0.047244094488188976,0.08267716535433071,0.12992125984251968,232,94.0,3,61.092,13640000.0,3.0,254.0
TM35_000023790,hypothetical protein,957,1,4.0,0.93,1.0,0.02830188679245283,0.05345911949685535,0.059748427672955975,0.11320754716981132,287,100.0,3,22.177,6576200.0,4.0,319.0
TM35_000023810,hypothetical protein,831,1,4.0,0.92,0.99,0.014492753623188406,0.06159420289855073,0.07971014492753623,0.14130434782608695,245,99.9,,,,,277.0
TM35_000023820,hypothetical protein,870,1,4.0,0.9,1.0,0.04152249134948097,0.05536332179930796,0.07612456747404844,0.13148788927335642,261,100.0,7,69.525,443800000.0,39.0,290.0
TM35_000023830,hypothetical protein,555,0,4.0,0.94,1.0,0.010810810810810811,0.043243243243243246,0.03783783783783784,0.08108108108108109,163,99.4,4,68.139,68337000.0,28.0,185.0
TM35_000023840,hypothetical protein,873,0,4.0,0.95,1.0,0.027586206896551724,0.06896551724137931,0.07931034482758621,0.14827586206896554,263,100.0,5,60.309,39004000.0,30.0,291.0
TM35_000024000,hypothetical protein,1122,1,4.0,0.88,0.98,0.01876675603217158,0.05630026809651475,0.045576407506702415,0.10187667560321717,348,99.9,4,52.715,45709000.0,9.0,374.0
