Gene ID	source_id	Organism	Genomic Location (Gene)	Product Description	Gene Type	Input ID	
TM35_000031540	TM35_000031540-t36_1	T. theileri isolate Edinburgh	NBCO01000003:131,865..132,659(-)	hypothetical protein	protein coding	Tth.3.1540	
TM35_000031550	TM35_000031550-t36_1	T. theileri isolate Edinburgh	NBCO01000003:133,463..134,464(-)	hypothetical protein	protein coding	Tth.3.1550	
TM35_000031580	TM35_000031580-t36_1	T. theileri isolate Edinburgh	NBCO01000003:138,735..139,406(-)	hypothetical protein	protein coding	Tth.3.1580	
TM35_000031600	TM35_000031600-t36_1	T. theileri isolate Edinburgh	NBCO01000003:143,439..144,542(-)	hypothetical protein	protein coding	Tth.3.1600	
TM35_000031610	TM35_000031610-t36_1	T. theileri isolate Edinburgh	NBCO01000003:145,586..146,623(-)	hypothetical protein	protein coding	Tth.3.1610	
TM35_000031630	TM35_000031630-t36_1	T. theileri isolate Edinburgh	NBCO01000003:148,657..149,562(-)	hypothetical protein	protein coding	Tth.3.1630	
TM35_000031650	TM35_000031650-t36_1	T. theileri isolate Edinburgh	NBCO01000003:152,202..153,104(-)	hypothetical protein	protein coding	Tth.3.1650	
TM35_000031660	TM35_000031660-t36_1	T. theileri isolate Edinburgh	NBCO01000003:156,059..157,033(-)	hypothetical protein	protein coding	Tth.3.1660	
TM35_000031670	TM35_000031670-t36_1	T. theileri isolate Edinburgh	NBCO01000003:158,010..158,960(-)	hypothetical protein	protein coding	Tth.3.1670	
TM35_000031680	TM35_000031680-t36_1	T. theileri isolate Edinburgh	NBCO01000003:159,834..160,784(-)	hypothetical protein	protein coding	Tth.3.1680	
TM35_000031700	TM35_000031700-t36_1	T. theileri isolate Edinburgh	NBCO01000003:163,402..164,304(-)	hypothetical protein	protein coding	Tth.3.1700	
TM35_000031710	TM35_000031710-t36_1	T. theileri isolate Edinburgh	NBCO01000003:165,105..166,064(-)	hypothetical protein	protein coding	Tth.3.1710	
TM35_000031730	TM35_000031730-t36_1	T. theileri isolate Edinburgh	NBCO01000003:168,073..169,005(-)	hypothetical protein	protein coding	Tth.3.1730	
TM35_000031750	TM35_000031750-t36_1	T. theileri isolate Edinburgh	NBCO01000003:172,148..173,131(-)	hypothetical protein	protein coding	Tth.3.1750	
TM35_000031770	TM35_000031770-t36_1	T. theileri isolate Edinburgh	NBCO01000003:175,774..176,751(-)	hypothetical protein	protein coding	Tth.3.1770	
TM35_000031780	TM35_000031780-t36_1	T. theileri isolate Edinburgh	NBCO01000003:185,230..186,111(-)	hypothetical protein	protein coding	Tth.3.1780	
TM35_000084340	TM35_000084340-t36_1	T. theileri isolate Edinburgh	NBCO01000008:811,955..812,983(-)	hypothetical protein	protein coding	Tth.8.4340	
TM35_000084370	TM35_000084370-t36_1	T. theileri isolate Edinburgh	NBCO01000008:819,342..820,286(-)	hypothetical protein	protein coding	Tth.8.4370	
TM35_000084380	TM35_000084380-t36_1	T. theileri isolate Edinburgh	NBCO01000008:821,091..821,831(-)	hypothetical protein	protein coding	Tth.8.4380	
TM35_000084450	TM35_000084450-t36_1	T. theileri isolate Edinburgh	NBCO01000008:833,749..834,621(-)	hypothetical protein	protein coding	Tth.8.4450	
TM35_000102910	TM35_000102910-t36_1	T. theileri isolate Edinburgh	NBCO01000010:560,175..561,161(+)	titin	protein coding	Tth.10.2910	
TM35_000102930	TM35_000102930-t36_1	T. theileri isolate Edinburgh	NBCO01000010:563,429..564,472(+)	hypothetical protein	protein coding	Tth.10.2930	
TM35_000102940	TM35_000102940-t36_1	T. theileri isolate Edinburgh	NBCO01000010:567,190..568,113(+)	hypothetical protein	protein coding	Tth.10.2940	
TM35_000102950	TM35_000102950-t36_1	T. theileri isolate Edinburgh	NBCO01000010:568,922..569,905(+)	hypothetical protein	protein coding	Tth.10.2950	
TM35_000102970	TM35_000102970-t36_1	T. theileri isolate Edinburgh	NBCO01000010:573,569..574,606(+)	hypothetical protein	protein coding	Tth.10.2970	
